state_code,State
SP,"São Paulo, Brazil"
SC,"Santa Catarina, Brazil"
PA,"Pará, Brazil"
PR,"Paraná, Brazil"
RJ,"Rio de Janeiro, Brazil"
MA,"Maranhão, Brazil"
ES,"Espírito Santo, Brazil"
RS,"Rio Grande do Sul, Brazil"
MG,"Minas Gerais, Brazil"
GO,"Goiás, Brazil"
DF,"Distrito Federal, Brazil"
BA,"Bahia, Brazil"
MT,"Mato Grosso, Brazil"
SE,"Sergipe, Brazil"
TO,"Tocantins, Brazil"
PE,"Pernambuco, Brazil"
CE,"Ceará, Brazil"
AL,"Alagoas, Brazil"
AC,"Acre, Brazil"
PI,"Piauí, Brazil"
PB,"Paraíba, Brazil"
RN,"Rio Grande do Norte, Brazil"
AM,"Amazonas, Brazil"
MS,"Mato Grosso do Sul, Brazil"
AP,"Amapá, Brazil"
RO,"Rondônia, Brazil"
RR,"Roraima, Brazil"
